váldot	váldot	+?
cuiggodit	formane
movttiidahttit	oppmuntre
vuoittáhallat	tape
ákkastallat	argumentere
vuhttot	spores
sivahallat	anklage_for
vuvdot	vuvdot	+?
čadnot	knyttes_til
goddot	goddot	+?
deaddilit	trykke
doahttalit	akte
jurdilit	tenke_en_tanke
dadjalit	si_fort
cavgilit	tipse
riŋgestit	ringe
dubmehallat	bli_dømt
rabastit	åpne
ovttastallat	være_sammen
bázahallat	bli_etter
láidestit	láidestit	+?
čievččastit	sparke
coggalit	putte_fort
gávnnadit	møtes
gávnnahallat	bli_oppdaget
viššalit	flittig
bággehallat	tvinges
gaikkodit	gaikkodit	+?
vuojadit	svømme
ráfáidahttit	ráfáidahttit	+?
čálestit	notere
duššadit	duššadit	+?
čilgestit	čilgestit	+?
láhttestit	utbryte_plutselig
bidjalit	legge
gessot	bli_dradd
čoggot	čoggot	+?
smiehtadit	tenke
čálistit	skrive_litt
vuojahallat	vuojahallat	+?
sáhkkohallat	sáhkkohallat	+?
rohttestit	rohttestit	+?
čohkkádit	sitte
bávččagahttit	bli_såret
válddahallat	válddahallat	+?
bohciidahttit	bohciidahttit	+?
liikostit	straks_like
cakkadit	cakkadit	+?
čuohpadit	skjære_seg
čovdot	čovdot	+?
rohttehit	rohttehit	+?
fárrehit	fárrehit	+?
duvdilit	duvdilit	+?
doddjot	brekke
lihkahallat	berøre
iđistit	dukke_opp_plustelig_eller_fort
masttadit	masttadit	+?
ájihit	hefte_bort
veardádallat	veardádallat	+?
fállot	fállot	+?
fuolastuvvat	fuolastuvvat	+?
doaladit	holde_på_noe
birgehallat	birgehallat	+?
sorrot	bli_flokete
moddjestit	smile_kort
juoiggadit	holde_på_så_smått_med_å_joike
gullostit	plutselig_høres
gohččodit	gohččodit	+?
vurkkodit	vurkkodit	+?
roahkastit	huke
duolmmastit	trø
čáhkkehit	čáhkkehit	+?
lahkonišgoahtit	begynne_å_nærme_seg
luoitilit	slippe_i_hast
nanusmahttit	nanusmahttit	+?
