oba	melko	Adv	Pcle
plánaproseassa	suunnitteluprosessi	N	N
jassa	lumiläiskä	N	N
analysa	analyysi	N	N
konkrehta	konkreettinen	A	A
identitehta	identiteetti	N	N
friddjavuohta	vapaus	N	N
gaskavuohta	suhde	N	N
girjáivuohta	kirjavuus	N	N
ovttaoaivilvuohta	yksimielisyys	N	N
oadjebasvuohta	turvallisuus	N	N
bargguhisvuohta	työttömyys	N	N
iešmearridanvuoigatvuohta	itsemääräämisoikeus	N	N
geavahanvuoigatvuohta	käyttöoikeus	N	N
oamastanvuoigatvuohta	omistusoikeus	N	N
guolástanvuoigatvuohta	kalastusoikeus	N	N
boazodoallovuoigatvuohta	poronhoito-oikeus	N	N
eamiálbmotvuoigatvuohta	alkuperäiskansaoikeus	N	N
álgoálbmotvuoigatvuohta	alkuperäiskansaoikeus	N	N
olmmošvuoigatvuohta	ihmisoikeus	N	N
guovttegielatvuohta	kaksikielisyys	N	N
boasttuvuohta	vääryys	N	N
čearddalašvuohta	etnisyys	N	N
guovttegielalašvuohta	kaksikielisyys	N	N
ovttamielalašvuohta	yksimielisyys	N	N
gelbbolašvuohta	kelpoisuus& kompetenssi	N	N
ovdánanvejolašvuohta	kehitysmahdollisuus	N	N
almmolašvuohta	julkisuus	N	N
máhtolašvuohta	kelpoisuus	N	N
girjjálašvuohta	kirjallisuus	N	N
čáppagirjjálašvuohta	kaunokirjallisuus	N	N
dilálašvuohta	tilaus	N	N
riektedilálašvuohta	oikeussuhde	N	N
ovttadássásašvuohta	tasa-arvo	N	N
váilevašvuohta	puute	N	N
gullevašvuohta	kuuluisuus	N	N
dearvvašvuohta	terveys	N	N
doarjjaruhta	tukiraha	N	N
prošeaktaruhta	projektiraha	N	N
mandáhta	mandaatti	N	N
notáhta	muistio	N	N
riektesubjeakta	oikeussubjekti	N	N
projeakta	projekti	N	N
prošeakta	projekti	N	N
ovdaprošeakta	esiprojekti	N	N
giellaprošeakta	kieliprojekti	N	N
dutkanprošeakta	tutkimusprojekti	N	N
ovttasbargoprošeakta	yhteistyöprojekti	N	N
presideanta	presidentti	N	N
sámediggepresideanta	saamelaispresidentti	N	N
várrepresideanta	varapresidentti	N	N
pasieanta	potilas	N	N
departemeanta	ministeriö	N	N
energiijadepartemeanta	energiaministeriö	N	N
olgoriikadepartemeanta	ulkoministeriö	N	N
kultuvradepartemeanta	kulttuuriministeriö	N	N
justiisadepartemeanta	oikeusministeriö	N	N
gávpedepartemeanta	kauppaministeriö	N	N
dutkandepartemeanta	tutkimusministeriö	N	N
riddodepartemeanta	rannikkoministeriö	N	N
bargodepartemeanta	työministeriö	N	N
girkodepartemeanta	kirkkoministeriö	N	N
guovlodepartemeanta	alueministeriö	N	N
biebmodepartemeanta	ruokaministeriö	N	N
máhttodepartemeanta	tietoministeriö	N	N
dásseárvodepartemeanta	tasa-arvoministeriö	N	N
kulturdepartemeanta	kulttuuriministeriö	N	N
fuolahusdepartemeanta	sosiaaliministeriö	N	N
guovludepartemeanta	alueministeriö	N	N
bearašdepartemeanta	perheministeriö	N	N
dokumeanta	dokumentti& asiakirja	N	N
departementa	ministeriö	N	N
dutkandepartementa	tutkimusministeriö	N	N
girkodepartementa	kirkkoministeriö	N	N
guovlodepartementa	alueministeriö	N	N
guovludepartementa	alueministeriö	N	N
relevánta	relevantti	A	A
raporta	raportti	N	N
nuorta	itä	N	N
e-poasta	sähköposti	N	N
lista	lista	N	N
láhkateaksta	lakiteksti	N	N
fásta	vakio	A	A
neahtta	netti	N	N
kvaliteahtta	laatu	N	N
bušeahtta	budjetti	N	N
stáhtabušeahtta	valtionbudjetti	N	N
minoritehtta	vähemmistö	N	N
instituhtta	laitos& instituutti	N	N
priváhtta	yksityinen	A	A
ovtta	yhteinen	Adv	A
buvtta	tuote	N	N
arkiiva	arkisto	N	N
negatiiva	negatiivinen	A	A
positiiva	positiivinen	A	A
aktiiva	aktiivinen	A	A
kollektiiva	kollektiivi	N	N
perspektiiva	näkökulma	N	N
ráva	neuvo	N	N
badjebáza	ylijäämä	N	N
badjelbáza	ylijäämä	N	N
ruoŧa	ruotsalainen	A	A
ruoŧŧa	ruotsalainen	N	A
muđuid	muuten	Adv	Adv& Pcle& Interj
omd	esimerkiksi	Adv	Adv
geardde	kerran	Adv	Adv
ovddabealde	etupuolella	Adv	Adv
oarjjabealde	länsipuolella	Adv	Adv
siskkabealde	sisäpuolella	Adv	Adv
vuolábealde	alapuolella	Adv	Adv
lulábealde	eteläpuolella	Adv	Adv
davábealde	pohjoispuolella	Adv	Adv
mihkkege	mitään	Pron	Pron
goassege	koskaan	Adv	Adv
guhtege	jokainen	Pron	Pron
almmatge	kuitenkin	Adv	Pcle
dattetge	kuitenkin	Adv	Pcle
goabbáge	kumpikin	Pron	Pron
dehe	tai	CC	CC& N
die	tuolla	Adv	Adv
ládje	tavalla	Po	Adv
seammaládje	samanlainen	A	A
sihke	sekä	CC	CC
bealle	puoli	N	N
norggabealle	norjan puoli	N	N
sohkabealle	sukupuoli	N	N
olle	kaikki	N	Pron
málle	malli	N	N
fuolaheapme	välinpitämätön	A	A
biire	piiri& paliskunta	N	N
válgabiire	vaalipiiri	N	N
goasse	koskaan	Adv	Adv
dihte	takia	Po	Adv& Po
bakte	kautta	Po	Po
bokte	kautta	Po	Po
dakkaviđe	heti	Adv	Adv
láhkai	tavalla	Po	Adv
nai	myös	Pcle	Pcle
vai	vai	CC	CC
kulturárbi	kulttuuriperinne	N	N
álbmotmeahcci	kansallispuisto	N	N
oahcci	hakija	N	N
oahci	rajoitus	N	N
bargoaddi	työnantaja	N	N
sáttagoddi	valtuusto	N	N
lávdegoddi	lautakunta	N	N
válgalávdegoddi	vaalilautakunta	N	N
fágalávdegoddi	ammattilautakunta	N	N
láhkalávdegoddi	lakilautakunta	N	N
giellalávdegoddi	kielilautakunta	N	N
vuoigatvuođalávdegoddi	oikeuslautakunta	N	N
boraspirelávdegoddi	petoeläinlautakunta	N	N
áššedovdilávdegoddi	asiantuntijalautakunta	N	N
boazoguohtunlávdegoddi	porolaidunlautakunta	N	N
váldolávdegoddi	päälautakunta	N	N
bargolávdegoddi	työlautakunta	N	N
oahppolávdegoddi	opintolautakunta	N	N
kulturlávdegoddi	kulttuurilautakunta	N	N
diggegoddi	käräjäoikeus	N	N
báikegoddi	kylä& paikkakunta	N	N
čoahkkinjođihangoddi	kokousjohtokunta	N	N
čállingoddi	sihteeristö	N	N
plánaeiseváldi	suunnitteluviranomainen	N	N
mearridanváldi	päätösvalta	N	N
áššedovdi	asiantuntija	N	N
goahccevuovdi	havumetsä	N	N
ráfi	rauha	N	N
diggi	käräjät	N	N
boahtteáigi	tulevaisuus	N	N
suorgi	haarauma	N	N
fágasuorgi	ammatti-alue	N	N
vuoruhansuorgi	satsausalue	N	N
bargosuorgi	työllistämiskerroin	N	N
ovddasvástádussuorgi	vastuualue	N	N
servodatsuorgi	yhteiskuntasektori	N	N
álohii	aina	Adv	Adv
belohahkii	osittain	Adv	Adv
badjelii	yli	Adv	Adv
oidnosii	näkyviin	Adv	Adv
namalassii	nimittäin	Adv	Adv
ovddalgihtii	etukäteen	Adv	Adv
vuhtii	vastaan	Adv	Adv
dassážii	siihen asti	Adv	Adv
dássážii	tähän asti	Adv	Adv
mearrideaddji	määräävä	A	A
geavaheaddji	käyttäjä	N	N
gustojeaddji	kelvollinen&	A	A
ovddasteaddji	edustaja	A	N
berošteaddji	kiinnostunut	A	A
riikarádji	valtionraja	N	N
oarji	länsi	N	N
čoahkkingirji	kokouskirja	N	N
