lihkkolohku	lykketall	onnenluku
a-joavku	a-lag	
video	video	
vallji	overflod	
álli	ilestang	
johtin	flytting	
eahkedismális	eahkedismális	
bággonjuovvan	tvangsslaktning	
bearráigeahčči	bearráigeahčči	
dáidu	kunnskap	
sámegieloahpahus	samiskundervisning	
eahkedismállásat	eahkedismállásat	
boazoáidi	reingjerde	
hutki	hutki	
Gába	Gába	
inspirašuvdna	inspirasjon	
duodjeinstituhtta	duodjiinstitutt	
mohtorjohtolatláhka	motorferdselsloven	
beassášfestivála	påskefestival	
njoarosteapmi	njoarosteapmi	
Kroa	Kroa	
revy	revy	
russa	russa	
boradanbáiki	spisested	
veterána	veteran	
ruvke	gruve	
fárren	fárren	
vearrát	vearrát	
láidesteaddji	láidesteaddji	
govvačájáhus	billedutstilling	
boahkku	småkopper	
bartasadji	hyttetomt	
boranávdi	boranávdi	
luonddugáhtten	miljøvern	
teoriija	teori	
kámera	kámera	
earru	avskjed	
Gironvárri	Gironvárri	
semifinála	semifinale	
eallinahki	levealder	
temperatuvra	temperatur	
hušša	ståk	
govvadáiddár	billedkunstner	
erenoamášvuohta	eiendommelighet	
dáiddárráđđi	kunstnerråd	
Máhkarávju	Magerøya	
orrunbáiki	bosted	
design	design	
orrun	orrun	
Báktevárri	Báktevárri	
reportáša	reportasje	
báhčinlohpi	fellingstillatelse	
bargoskibir	kollega	
searvan	medvirkning	
naššuvdna	naššuvdna	
leansmánnebálvá	lensmannsbetjent	
boazobargu	reindriftsarbeid	
vuolggasadji	innfallsvinkel	
luoikkas	til_låns	
bargoustit	kollega	
stivrenjoavku	styringsgruppe	
sponsor	sponsor	
kro	kro	
reakšuvdna	reaksjon	
hommet	hommet	
girkoverdde	kirkeverge	
girjelágádus	bokforlag	
bohtti	hevelse	
badjelgeahččanvuohta	overlegenhet	
Hálkavárri	Hálkavárri	
kritihkka	kritikk	
boazobargi	boazobargi	
teáhterčájálmas	teaterforestilling	
ollesáigi	heltid	
nálli	ætt	
konsultašuvdna	konsultasjon	
guovddášbellodat	sentrumsparti	
gohcu	gohcu	
álbmotválljejuvvon	folkevalgt	
fitnodatregisttar	foretaksregister	
dáiddaskuvla	kunstskole	
deaddileapmi	trykking	
ambassadevra	ambassadør	
suorggis	suorggis	
show	show	
gohččot	gohččot	
Sárevuopmi	Sárevuopmi	
meastta	marmelade	
loadda	lodd	
sámenisu	samekvinne	
finánsaroassu	finánsaroassu	
Davvesiida	Davvesiida	
márkosápmi	márkosápmi	
giksi	plage	
ahkemearri	ahkemearri	
TV-ráidu	TV-ráidu	
Girjjis	Girjjis	
jienastuslogus	valgmanntall	
bargoáigi	arbeidstid	
ovttastus	forbindelse	
govvideaddji	govvideaddji	
Vuovdaguoika	Vuovdaguoika	
riekkis	ring	
bartaeaiggát	hytteeier	
musihkkajoavku	musikkgruppe	
kaféa	kafé	
gárdin	stor_gård	
Hearrá	Hearrá	
sukseassa	sukseassa	
psykologa	psykolog	
nominašuvdna	nominasjon	
maya	maya	
justisministtar	justisminister	
dáhton	dato	
drámá	drama	
stoalpu	stolpe	
boazonjuovahat	reinslakteri	
goanstarássešillju	kunstgressbane	
myhta	myte	
galledeapmi	galledeapmi	
Justislávdegoddi	Justislávdegoddi	
čáhceolmmái	vannmann	
juoiganoassi	juoiganoassi	
álbmotlihttu	folkeforbund	
ruhtageavaheapmi	pengebruk	
rievssatbivdi	rievssatbivdi	
klieanta	klient	
hutkáivuohta	kreativitet	
eanandoalloministtar	landbruksminister	
doappar	doappar	
boazoálbmot	reindriftsfolk	
kongreassa	kongress	
hirbma	skrekk	
gávpeolmmái	handelsmann	
galleriija	galleri	
dramatihkka	dramatikk	
temá	tema	
sárgun	sárgun	
sámemusihkka	samisk_musikk	
regulerenplána	reguleringsplan	
nuoraidsiida	nuoraidsiida	
norga	norga	
fágareive	fagbrev	
sámegilli	sámegilli	
psykiatriija	psykiatri	
kulturdoallu	kulturarrangement	
illudahtti	illudahtti	
giellabargi	giellabargi	
proavássuohkan	proavássuohkan	
meahccebálvalus	fjelltjeneste	
láhkarihkkun	overtredelse	
logus	lesestoff	
lagasrádio	lagasrádio	
kabarea	kabarea	
Oalgevárri	Oalgevárri	
ruhtačoaggin	pengeinnsamling	
ođđaáigi	nytid	
neahttabáiki	nettsted	
luonddubearráigeahčču	luonddubearráigeahčču	
hárri	hárri	
eanandoallodepartemeanta	landbruksdepartement	
boazodoalloeiseváldi	reindriftsmyndighet	
Davvikalohtta	Davvikalohtta	
čakčafestivála	høstfestival	
dulvadeapmi	dulvadeapmi	
valáštallanlihttu	idrettsforbund	
olgoriikkalaš	utlending	
