lihkkolohku	lykketall	onnenluku
diehtojuohkinbálvalus	diehtojuohkinbálvalus	
bárdnemánná	bárdnemánná	
bággoluopmu	bággoluopmu	
báberruhta	báberruhta	
boazoguovlu	reinbeiteområde	
bivdoáigodat	bivdoáigodat	
bivdobáiki	jaktplass	
bivdinvuoigatvuohta	bivdinvuoigatvuohta	
birrajándor	birrajándor	
biergokilo	biergokilo	
biebmokultuvra	biebmokultuvra	
biebmanrusttet	biebmanrusttet	
beroštahtti	beroštahtti	
beaivemátki	beaivemátki	
beaggi	beaggi	
badjemánáidbiire	badjemánáidbiire	
badjeláigi	overtid	
almmolašvuođaláhka	offentlighetsloven	
Sávvon	Sávvon	
SMS-jienasteapmi	SMS-jienasteapmi	
Riebanvárri	Riebanvárri	
Lotto	Lotto	
Heia-festivála	Heia-festivála	
čuohpahat	čuohpahat	
álgoálbmotorganisašuvdna	álgoálbmotorganisašuvdna	
álgokursa	álgokursa	
áhtti	áhtti	
váldopersovdna	hovedperson	
vuotnabahta	fjordbotn	
vuojeheapmi	utdriving	
vietnan	vietnan	
vesá	vesá	
turistaindustriija	turistaindustriija	
sámemánáidgárdi	sámemánáidgárdi	
sámemeašttir	sámemeašttir	
suoidnespábba	suoidnespábba	
soavli	snøslaps	
sisaoastinlávdegoddi	sisaoastinlávdegoddi	
sihkkelgilvu	sihkkelgilvu	
rávki	stakkar	
ruhtamoivi	ruhtamoivi	
románsa	románsa	
respeakta	respekt	
register	register	
publikum	publikum	
poastakoarta	poastakoarta	
ovdánahttinprošeakta	forbedringsprosjekt	
ovddetbeaivi	ovddetbeaivi	
oskkuoahpahus	oskkuoahpahus	
olmmošriekti	olmmošriekti	
oahpahusášši	oahpahusášši	
oahpahusplána	oahpahusplána	
oahpaheaddjiskuvla	oahpaheaddjiskuvla	
nákkosdilálašvuohta	nákkosdilálašvuohta	
nuoraidčálli	nuoraidčálli	
nominašuvdnalávdegoddi	nominašuvdnalávdegoddi	
njáigu	blyg_person	
nisga	nisga	
narkogeavaheapmi	narkogeavaheapmi	
miššuvdna	misjon	
mekanihkkár	mekaniker	
meahccebuollin	meahccebuollin	
luondduvásáhus	luondduvásáhus	
ladni	ladni	
kursafálaldat	kursafálaldat	
juovlakonsearta	juovlakonsearta	
journalistaoahppi	journalistaoahppi	
jahkemolsašupmi	jahkemolsašupmi	
heahtečoahkkin	heahtečoahkkin	
gáfedat	kafeteria	
guolástusvuoigatvuohta	guolástusvuoigatvuohta	
guohtunriidu	guohtunriidu	
goden	goden	
goasttideaddji	goasttideaddji	
giehtaspeažžun	ovasjon	
gearretriekti	gearretriekti	
geaidnosearvi	geaidnosearvi	
fágalihttu	fágalihttu	
fágajury	fágajury	
friijavuohta	friijavuohta	
friddjačuoigan	friddjačuoigan	
fanaseaiggát	fanaseaiggát	
ekstremista	ekstremista	
eanajuohkinriekti	jordskifterett	
eanadoarggástus	eanadoarggástus	
eamiálbmotriekti	eamiálbmotriekti	
eallindilálašvuohta	livssituasjon	
eallinbiras	eallinbiras	
ealgabivdoguovlu	ealgabivdoguovlu	
dárogielhálli	dárogielhálli	
duottarjávri	fjellvann	
dohkkehahtti	dohkkehahtti	
divatgeahpádus	divatgeahpádus	
dihtorrusttet	dihtorrusttet	
bátnedikšu	bátnedikšu	
báhpavirgi	báhpavirgi	
boastaboksa	postboks	
biilajorri	biilajorri	
bealljegoahti	bealljegoahti	
bargovuorru	bargovuorru	
aspiránta	aspiránta	
alkoholaguossohanlohpi	alkoholaguossohanlohpi	
albbasbivdu	albbasbivdu	
Stállu	Stállu	
Sieidi	Sieidi	
Márkannjárga	Márkannjárga	
Márjjabeaivi	Márjjabeaivi	
Bondevik-ráđđehus	Bondevik-ráđđehus	
šlundivuohta	šlundivuohta	
šlipsa	šlipsa	
čielgeađa	ryggmarg	
web-siidu	web-siidu	
váre	váre	
válganjuolggadus	válganjuolggadus	
válgalista	válgalista	
váldosisdoallu	váldosisdoallu	
vuovdingálvu	vuovdingálvu	
vuojadanhálla	svømmehall	
veahkkebálvalus	veahkkebálvalus	
valáštallanstivra	valáštallanstivra	
valáštallandoaibma	valáštallandoaibma	
telefonguovddáš	sentralbord	
stoahku	stoahku	
skuvlavuogádat	skuvlavuogádat	
skuvladoaibma	skuvladoaibma	
servodatberoštupmi	samfunnsinteresse	
searvegoddebláđđi	searvegoddebláđđi	
ruđahisvuohta	ruđahisvuohta	
ruhtadárbu	ruhtadárbu	
ritni	rim	
rista	kors	
riktá	riktá	
psykologiija	psykologi	
proteasta	proteasta	
peara	peara	
ovttasbargolávdegoddi	samarbeidskomité	
oaiveášši	oaiveášši	
oahpahusásahus	oahpahusásahus	
oahpahusdirektevra	oahpahusdirektevra	
oahpahusdilli	oahpahusdilli	
nuorttabealle	nuorttabealle	
nubbiovdaolmmoš	nubbiovdaolmmoš	
nomáda	nomáda	
nissonprošeakta	kvinneprosjekt	
niskebuiku	niskebuiku	
máinnassápmelaš	máinnassápmelaš	
muorrauvdna	muorrauvdna	
muitomearka	minnemerke	
moarri	vrede	
millimehter	millimeter	
mikrofovdna	mikrofon	
meieriija	meieri	
meahccesihkkel	meahccesihkkel	
meahcceduopmostuollu	meahcceduopmostuollu	
meahccebáhčin	meahccebáhčin	
láigošiehtadus	festekontrakt	
láigoheapmi	láigoheapmi	
láhppu	láhppu	
luohtu	luohtu	
lotto	lotto	
liigedoarjja	tilleggsstønad	
lihkahus	sinnsbevegelse	
leaŋga	seletøysbogtre	
leastadianisma	lestadianisme	
kulturduogáš	kulturduogáš	
kontineanta	kontineanta	
kokaiidna	kokain	
katekismus	katekismus	
jávohisgeatnegasvuohta	jávohisgeatnegasvuohta	
jurylahttu	jurylahttu	
jienastanproseanta	jienastanproseanta	
heastagilvu	hesteløp	
gánnáhahttivuohta	gánnáhahttivuohta	
guosseviessu	guosseviessu	
guorahallanbargu	guorahallanbargu	
govvadiehtu	govvadiehtu	
girdirukto	girdirukto	
giellaoahppa	giellaoahppa	
geassebeaivi	geassebeaivi	
galmmihanskábe	galmmihanskábe	
fáktor	fáktor	
fiber	fiber	
festiválaprográmma	festiválaprográmma	
falástalli	falástalli	
evttoheaddji	evttoheaddji	
erttetdákti	ribbein	
erotihkka	erotikk	
eanaspábba	jordklode	
eallinguoibmi	eallinguoibmi	
dánsunsearvi	dánsunsearvi	
dálkkádatdutki	dálkkádatdutki	
dáiddafoanda	dáiddafoanda	
doaibmabáiki	doaibmabáiki	
direktevravirgi	direktevravirgi	
diggestohpu	diggestohpu	
deprešuvdna	deprešuvdna	
deatta	vekt	
cumma	kyss	
cukca	anekdote	
ceahkis	hakk	
campingsadji	campingsadji	
caggát	caggát	
bátneklinihkka	bátneklinihkka	
buhcciidviessu	buhcciidviessu	
boazoguohtoneana	boazoguohtoneana	
boazodoallosuohkan	boazodoallosuohkan	
boazodoallohálddašeapmi	boazodoallohálddašeapmi	
boarrásiidráđđi	boarrásiidráđđi	
birgenvuohki	birgenvuohki	
biraslávdegoddi	biraslávdegoddi	
animašuvdna	animasjon	
Urbán	Urbán	
Nagirvárri	Nagirvárri	
Luostejohka	Luostejohka	
Fiervá	Fiervá	
Ealát-prošeakta	Ealát-prošeakta	
CD-siŋgel	CD-siŋgel	
čohkkánloddi	čohkkánloddi	
álgovahkku	álgovahkku	
áhpehisvuohta	áhpehisvuohta	
válgaoassálastin	válgaoassálastin	
vuođđovuoigatvuohta	vuođđovuoigatvuohta	
vuotnabivdu	vuotnabivdu	
vuosttasgeardi	vuosttasgeardi	
vearrováldi	vearrováldi	
tv-kanála	tv-kanála	
terminála	terminal	
sámegielfága	samiskspråkfag	
stipeandačájáhus	stipeandačájáhus	
spiovdna	spion	
soahtebálvalus	soahtebálvalus	
skuvlaálgin	skolestart	
siskkimuš	siskkimuš	
ráfálašvuohta	ráfálašvuohta	
rádjeguovlu	rádjeguovlu	
ruskabáiki	ruskabáiki	
ruovttueana	hjemland	
ruhkos	ruhkos	
risnieida	guddatter	
pyramida	pyramide	
pedofiila	pedofil	
optimisma	optimisme	
olgoriikkabálvalus	olgoriikkabálvalus	
oaggunstávrá	oaggunstávrá	
nulpu	rein_uten_horn	
noaideáhkku	noaideáhkku	
márkandilli	márkandilli	
muorračuohppan	muorračuohppan	
muohtaskuter	muohtaskuter	
multimedia	multimedia	
mediamáilbmi	mediamáilbmi	
mearkaoalli	mearkaoalli	
meahcceluodda	skogsveg	
meahccehálddahus	meahccehálddahus	
meahccebearráigeahčči	meahccebearráigeahčči	
maŋŋejuolgi	bakbein	
masteroahppu	masteroahppu	
maorigiella	maorigiella	
luonddudutkaninstituhtta	luonddudutkaninstituhtta	
kulturáddejupmi	kulturáddejupmi	
kultursuorgi	kultursuorgi	
koreográfa	koreográfa	
kompromissa	kompromiss	
kemikála	kemikála	
kemiija	kjemi	
johtolatstašuvdna	johtolatstašuvdna	
intenšuvdnašiehtadus	intenšuvdnašiehtadus	
iešstivren	iešstivren	
hárjehallanáigi	hárjehallanáigi	
háldogiddagas	háldogiddagas	
gáktegeavaheapmi	gáktegeavaheapmi	
guolástanguovlu	felt	
guolleresursa	guolleresursa	
guollebiebmanrusttet	guollebiebmanrusttet	
gummi	gummi	
gođđoguolli	gytefisk	
govdabáddefierpmádat	govdabáddefierpmádat	
girkobálvá	girkobálvá	
girdihámman	lufthavn	
genadutkan	genadutkan	
ganjalčalbmi	tårevått_øye	
fáktá	fáktá	
fágaskuvla	fágaskuvla	
fylkkagirjerájus	fylkkagirjerájus	
fuođđoláhka	viltlov	
foarbma	form	
estetihkka	estetikk	
eamiálbmotpolitihkka	urbefolkningspolitikk	
dárkkistanraporta	dárkkistanraporta	
dánsunčájálmas	dánsunčájálmas	
dálkediehtu	dálkediehtu	
dutkanruhta	dutkanruhta	
dolkadahtti	dolkadahtti	
diktačoakkáldat	diktačoakkáldat	
debutánta	debutánta	
cealki	cealki	
buorredilli	buorredilli	
borranbáiki	borranbáiki	
boazovázzingilvu	boazovázzingilvu	
bivttasgoarru	bivttasgoarru	
bivttasbuvda	bivttasbuvda	
bivdojahki	bivdojahki	
bivdofanas	bivdofanas	
birasváikkuhus	birasváikkuhus	
bieggamillohuksen	bieggamillohuksen	
biebmogálvu	næringsmiddel	
bearráigeahččanorgána	bearráigeahččanorgána	
bearbma	bearbma	
bealálašvuohta	bealálašvuohta	
beakkálmasvuohta	beakkálmasvuohta	
bastevuogga	sluk	
bargošiehtadus	arbeidsavtale	
agálašvuohta	evighet	
Lávra	Lávra	
Heargedievvá	Heargedievvá	
Harangen	Harangen	
Agenda	Agenda	
A-finála	A-finála	
Čuđegieddi	Čuđegieddi	
šurra	surr	
čađačuovgi	čađačuovgi	
šattus	frukt	
Šaldimárkan	Šaldimárkan	
áideguorra	áideguorra	
áhta	ting	
válljenmunni	utvalg	
vuosttašamanueansa	vuosttašamanueansa	
vuonesássa	vuonesássa	
valáštallanrusttet	valáštallanrusttet	
tuiskalaš	tuiskalaš	
trenda	trend	
sámeálbmotfoanda	samefolkets_fond	
stáloš	liten_stallo	
studieloatna	studieloatna	
solista	solist	
servodatsihkarvuohta	servodatsihkarvuohta	
rohkosvisti	rohkosvisti	
poastakantuvra	poastakantuvra	
ođasmuvvi	ođasmuvvi	
ovdánahttinministtar	ovdánahttinministtar	
ovdagoddečoahkkin	ovdagoddečoahkkin	
orut	orut	
operaviessu	operaviessu	
oljoindustriija	oljoindustriija	
oavdu	mirakel	
oasusláhka	aksjelov	
oahppospesialiseren	oahppospesialiseren	
oahpisteaddji	oahpisteaddji	
náittosguoibmedoarjja	náittosguoibmedoarjja	
mátkkoštanfitnodat	mátkkoštanfitnodat	
mánaidgárdi	mánaidgárdi	
museahoavda	museahoavda	
muitogeađgi	muitogeađgi	
monopola	monopol	
mirku	mirku	
miellagovva	miellagovva	
mielkespánnja	mielkespánnja	
mearraolmmoš	mearraolmmoš	
láhkki	láhkki	
lágaš	lágaš	
luossajuolgi	luossajuolgi	
kulturipmárdus	kulturipmárdus	
komihkkár	komihkkár	
koansta	koansta	
jálluvuohta	jálluvuohta	
jiekŋaáigi	jiekŋaáigi	
ihpil	ihpil	
hálddašanbargu	hálddašanbargu	
gávpoteallin	gávpoteallin	
gáktečájáhus	gáktečájáhus	
guovlluráđđi	guovlluráđđi	
gulahallangaskaoapmi	gulahallangaskaoapmi	
goallosvovdna	tilhenger	
girjjálašvuođabálkkašupmi	girjjálašvuođabálkkašupmi	
gilvošillju	konkurransearena	
gilvovuodjin	kappkjøring	
giellagáddi	giellagáddi	
giddodat	fast_inventar	
gelbbolašvuođagáibádus	gelbbolašvuođagáibádus	
geasseidja	sommernatt	
geahpesdávda	lungesykdomm	
gaskabeaiáigi	gaskabeaiáigi	
galmmihanskáhppe	galmmihanskáhppe	
fápmorusttet	fápmorusttet	
fylkkadeaivvadeapmi	fylkkadeaivvadeapmi	
forbma	forbma	
elliidgáhtten	elliidgáhtten	
eanavuovdinstivra	eanavuovdinstivra	
dárogielmáhttu	dárogielmáhttu	
dálveáigi	dálveáigi	
dáiddalašvuohta	dáiddalašvuohta	
duopmostuollohálddahus	duopmostuollohálddahus	
duogášdiehtu	duogášdiehtu	
duodjeoahppi	duodjeoahppi	
driftsenheta	driftsenheta	
doavtterbálvalus	legetjeneste	
diehtojuohkintávval	informasjonstavle	
diehtojuohkindoaibma	diehtojuohkindoaibma	
báhtter	batteri	
bušeahttaášši	bušeahttaášši	
bussefálaldat	bussefálaldat	
buolla	buolla	
bohccovarra	bohccovarra	
boazovahát	boazovahát	
boazoguohtunguovlu	boazoguohtunguovlu	
boazodoallojahki	boazodoallojahki	
boazodoallofága	reindriftsfag	
biidnu	biidnu	
bifiila	bifiila	
batteriija	batteri	
bargooktavuohta	bargooktavuohta	
bargonjuolggadus	bargonjuolggadus	
baleahtta	baleahtta	
bahčavuohta	bahčavuohta	
bachelorgráda	bachelorgráda	
Vággi	Vággi	
Suodjalusdepartemeanta	Suodjalusdepartemeanta	
Seakkesnjárga	Seakkesnjárga	
Gáldooaivi	Gáldooaivi	
Gearretnjárga	Gearretnjárga	
Gallup	Gallup	
Eatnu	Eatnu	
Bálát	Bálát	
Boaronjárga	Boaronjárga	
čáppisvuohta	čáppisvuohta	
čuovvumuš	čuovvumuš	
čilgejupmi	čilgejupmi	
čielgu	čielgu	
čatnan	čatnan	
Árbi	Árbi	
vátnivuohta	vátnivuohta	
vuosttasgiella	vuosttasgiella	
vuostebealli	motpart	
viessohuksen	viessohuksen	
vearrolohku	vearrolohku	
vearjoskáhppe	vearjoskáhppe	
tálla	tall	
tv-ođas	tv-ođas	
tomáhtta	tomáhtta	
sámedáiddár	sámedáiddár	
sámedemokráhtta	sámedemokráhtta	
suotnju	flat_bløtmyr	
studeantavahkku	studeantavahkku	
soahttát	soahttát	
skállu	bøtte	
skohtercross	skutercross	
ruvaš	ruvaš	
ruhtadanortnet	ruhtadanortnet	
roavgu	skinnfell	
risbárdni	gudsønn	
rievssatjahki	rievssatjahki	
revisor	revisor	
retorihkka	retorikk	
resursaolmmoš	ressursperson	
reseapta	reseapta	
rabasluohkká	rabasluohkká	
priváhtaolmmoš	priváhtaolmmoš	
ovttasdoaibma	samhandlingsaktivitet	
ovttasbargosoahpamuš	samarbeidsavtale	
oaivvuš	elveos	
nuoraidgirji	nuoraidgirji	
nađđa	skaft	
nazista	nazista	
máŋggakultuvrralašvuohta	máŋggakultuvrralašvuohta	
márkosápmelaš	márkosápmelaš	
mieđušteaddji	mieđušteaddji	
meahccejohtolatláhka	skogsferdselsloven	
meahccefievru	terrenggående_kjøretøy	
láhkačálus	láhkačálus	
láhkačálli	láhkačálli	
luossabreava	luossabreava	
luopma	luopma	
lunša	lunša	
luhtet	luhtet	
litnetkantuvra	litnetkantuvra	
latnji	latnji	
kvartála	kvartal	
kursadivat	kursadivat	
kulturfylka	kulturfylka	
kulturerohus	kulturerohus	
klovdna	klovdna	
jahkediva	jahkediva	
initiatiiva	initiativ	
hálddašanriekti	hálddašanriekti	
huksenfitnodat	huksenfitnodat	
house	house	
hallik	hallik	
gávpotsápmelaš	gávpotsápmelaš	
gárrenvuohta	gárrenvuohta	
gálvojorri	gálvojorri	
guoržžu	ulykkesfugl	
gudnevuollegašvuohta	gudnevuollegašvuohta	
gráhta	gráhta	
goltá	goltá	
goddinášši	goddinášši	
girdioahppu	girdioahppu	
geassebodda	geassebodda	
gaskajohtolat	gaskajohtolat	
fágajoavku	faggruppe	
fylkkavearrokantuvra	fylkkavearrokantuvra	
epoasta	epoasta	
eamiálbmotjoavku	eamiálbmotjoavku	
eamiosku	eamiosku	
ealáhusášši	ealáhusášši	
dánsunmusihkka	dánsunmusihkka	
dánsunkursa	dánsunkursa	
dálveturisma	dálveturisma	
dálkkádatčoahkkin	dálkkádatčoahkkin	
dáiddafága	dáiddafága	
duvvá	due	
doallodoarjja	doallodoarjja	
doaibmajahki	driftsår	
divatášši	divatášši	
dieđalašvuohta	dieđalašvuohta	
deasta	deasta	
dearvvašvuođaásahus	dearvvašvuođaásahus	
dearvvasvuođabálvalus	dearvvasvuođabálvalus	
davviriikalaš	davviriikalaš	
ceaggáivuohta	ceaggáivuohta	
bátnedikšunbálvalus	tannpleietjeneste	
bánna	bánna	
báikkálašservodat	báikkálašservodat	
bušeahttabargu	bušeahttabargu	
bussemátki	bussemátki	
boastanummar	boastanummar	
birasgáhttenlihttu	birasgáhttenlihttu	
biellobohkká	biellobohkká	
biebmoráhkadeapmi	biebmoráhkadeapmi	
bellodatpolitihkka	partipolitikk	
beassášprográmma	beassášprográmma	
basteoaivi	basteoaivi	
bassivárri	bassivárri	
bassibáiki	bassibáiki	
bargonoađđi	arbeidsbyrde	
bajásšaddanguovddáš	bajásšaddanguovddáš	
bajon	bajon	
asttuáigi	asttuáigi	
agenda	agenda	
Vuola	Vuola	
OG-gilvu	OG-gilvu	
NSR-listu	NSR-listu	
Luovttejohka	Luovttejohka	
Luossanjárga	Luossanjárga	
Idjavuotna	Ifjord	
Gollevárri	Gollevárri	
čázeoaivi	čázeoaivi	
čáhcegiera	vannskorpe	
čorgatvuohta	čorgatvuohta	
čiehkačievččasteapmi	hjørnespark	
šeahkka	sjekk	
váldojurdda	váldojurdda	
váibmosivva	hjertefeil	
vuolláičálus	vuolláičálus	
veahkkekantuvra	veahkkekantuvra	
varrasuotna	varrasuotna	
valáštallandiggi	valáštallandiggi	
urta	urta	
uksagaska	døråpning	
trompehta	trompet	
terrorisma	terrorisme	
sávzaeallu	sávzaeallu	
sáttoáhpi	sáttoáhpi	
sámediggeevttohas	sámediggeevttohas	
sáivaguolásteapmi	innlandsfiske	
stuorraoabbá	stuorraoabbá	
spáillit	utemmet_kastrert_rein	
soul	soul	
sodju	bend	
skuvlabiire	skuvlabiire	
skuvlaahki	skuvlaahki	
silbaruhta	silbaruhta	
ruoššareabbá	ruoššareabbá	
roahkan	huk	
rahpanseremoniija	rahpanseremoniija	
prográmmasuorgi	prográmmasuorgi	
preassafriddjavuohta	preassafriddjavuohta	
plánaguovlu	plánaguovlu	
piano	piano	
paradiijás	paradis	
panihkka	panikk	
ovdánahttindoaibma	ovdánahttindoaibma	
ovdasátni	forord	
orohatolmmoš	orohatolmmoš	
origo	origo	
offiseara	offiseara	
oasusgoddi	oasusgoddi	
oaidnimuš	oaidnimuš	
nuoraiddoaibma	nuoraiddoaibma	
njealjátoassi	njealjátoassi	
máttar	máttar	
márkanbeaivi	márkanbeaivi	
máhttát	máhttát	
muohtačalbmi	muohtačalbmi	
muittašeapmi	muittašeapmi	
mohtorsyhkkel	mohtorsyhkkel	
luonddunuoskkideapmi	luonddunuoskkideapmi	
luondduluossa	luondduluossa	
logahallan	fortegnelse	
liigevuorru	liigevuorru	
liigedienas	liigedienas	
kulturplána	kulturplána	
kulturlávdi	kulturlávdi	
kulturealáhus	kulturealáhus	
klimagássa	klimagássa	
jápminlihkohisvuohta	jápminlihkohisvuohta	
jorbadas	jorbadas	
jearru	jearru	
hivssetbábir	toalettpapir	
headjaviessu	headjaviessu	
gáddeguorra	gáddeguorra	
guorahallanlávdegoddi	guorahallanlávdegoddi	
guolástusealáhus	guolástusealáhus	
gulaskuddančoahkkin	høringsmøte	
gulahallanráđđeaddi	gulahallanráđđeaddi	
goarrun	goarrun	
goahtehuksen	goahtehuksen	
girkobivttas	girkobivttas	
gilvoheasta	gilvoheasta	
gilvobeaivi	gilvobeaivi	
gillár	felle	
gilivisti	gilivisti	
gielladieđáhus	gielladieđáhus	
gielas	kjøl	
geasusdieđáhus	geasusdieđáhus	
geassedearvvuohta	geassedearvvuohta	
fievrredandoarjja	flyttestønad	
ealáhuskantuvra	ealáhuskantuvra	
dáiddaorganisašuvdna	dáiddaorganisašuvdna	
dáiddabiras	dáiddabiras	
dulvebárru	dulvebárru	
duhkoraddan	duhkoraddan	
doavttirkantuvra	legekontor	
doarjjanjuolggadus	doarjjanjuolggadus	
doalvun	doalvun	
doallojahki	doallojahki	
divvunbargu	divvunbargu	
diplomáhtta	diplomáhtta	
dihtormašiidna	dihtormašiidna	
dihtorkursa	dihtorkursa	
dearvvašvuođaeiseváldi	dearvvašvuođaeiseváldi	
dearvvašvuođadikšu	helsestell	
dearvvašvuođadepartemeanta	dearvvašvuođadepartemeanta	
báktevárri	báktevárri	
buollinčáskadanbiila	buollinčáskadanbiila	
buhtadusášši	buhtadusášši	
borramušbearráigeahčču	borramušbearráigeahčču	
borgguhanláhka	borgguhanláhka	
bohkanmašiidna	bohkanmašiidna	
bivdogoarta	bivdogoarta	
biergooasti	biergooasti	
biebmobuvttadeapmi	biebmobuvttadeapmi	
beaktilvuohta	beaktilvuohta	
bargočoahkkin	bargočoahkkin	
bajásšaddanhoavda	bajásšaddanhoavda	
badjeloaivi	badjeloaivi	
backflip	backflip	
aviisafálaldat	aviisafálaldat	
astoáiggehommá	astoáiggehommá	
analfabehta	analfabehta	
TV-stašuvdna	TV-stašuvdna	
Sálašjoavku	Sálašjoavku	
Ságat-aviisa	Ságat-aviisa	
Selbu-ášši	Selbu-ášši	
Gáranasvuotna	Ramfjorden	
Gorsadállu	Gorsadállu	
Giehtavuotna	Kvæfjord	
Davvimearra	Nordsjøen	
Bohtaldievvá	Bohtaldievvá	
Basevuovdi	Helligskogen	
čáskadanbiila	brannbil	
čuoiganmátki	čuoiganmátki	
čoamohas	bog	
čoahkki	čoahkki	
čakčaeana	čakčaeana	
árrageassi	árrageassi	
ámadeadju	ansikt	
álgooahpahus	álgooahpahus	
áibmomolsunrusttet	ventilasjonsanlegg	
zapatista	zapatista	
várregilli	várregilli	
váldoneavttár	hovedrolleinnehaver	
váigatvuohta	váigatvuohta	
vuovddit	vuovddit	
vuollevuovdi	vuollevuovdi	
visteláigu	visteláigu	
vearrogeassin	vearrogeassin	
varraluodda	varraluodda	
unnitlogujoavku	unnitlogujoavku	
uksaráigi	uksaráigi	
tundra	tundra	
teáhterčájáhus	teaterforestilling	
teáhterbargi	teáhterbargi	
tariffa	tariffa	
sámieana	sámieana	
sámelihkadus	sámelihkadus	
sámediggečoahkkin	sámediggečoahkkin	
suddan	suddan	
stáhtaeiseváldi	stáhtaeiseváldi	
stivrasadji	stivrasadji	
spábbagárdi	spábbagárdi	
spesialistadoavtterguovddáš	spesialistadoavtterguovddáš	
sorjjasvuohta	sorjjasvuohta	
soarvestohpu	soarvestohpu	
skohterluodda	skohterluodda	
skeaŋkagoarta	skeaŋkagoarta	
sigára	sigára	
ruhtaroassu	ruhtaroassu	
risiko	risiko	
riektevuođđu	riektevuođđu	
reagas	reagas	
proteiidna	protein	
propagánda	propaganda	
presideantaválga	presideantaválga	
pandemiija	pandemiija	
ovttasdoaibman	samhandling	
ohcaleapmi	ohcaleapmi	
objeakta	objekt	
oaivečohkka	isse	
oahppaneavvu	læremiddel	
oahpahangelbbolašvuohta	oahpahangelbbolašvuohta	
náhpečoalli	náhpečoalli	
nuoraidleaira	nuoraidleaira	
nuoraiddeaivvadeapmi	nuoraiddeaivvadeapmi	
njávešeatni	eventyrskikkelse	
mávssolašvuohta	mávssolašvuohta	
máistta	krydder	
mekanihkar	mekanihkar	
meahccemátki	meahccemátki	
lávlunjietna	sangstemme	
láhkaaddi	láhkaaddi	
luossareive	luossareive	
luossadávda	luossadávda	
luohppi	luohppi	
lottáš	liten_fugl	
lassidiehtu	lassidiehtu	
káija	kai	
kultureahket	kultureahket	
kontrásta	kontrast	
konkursaregisttar	konkursaregisttar	
koloniija	koloni	
keeper	keeper	
juoiganbádji	juoiganbádji	
johttivuoitu	johttivuoitu	
isolašuvdna	isolasjon	
idealista	idealista	
hálddahusláhka	administrasjonsloven	
hilla	glo	
gávpeovttastus	kjede	
guohpahádja	guohpahádja	
govahallan	illusjon	
goavddis	goavddis	
girkodoardna	girkodoardna	
giellamolsun	giellamolsun	
giellamielbargi	giellamielbargi	
giellafága	språkfag	
fáddáčoahkkin	fáddáčoahkkin	
fáddáeahket	fáddáeahket	
frustrašuvdna	frustrasjon	
fidnooahppi	fidnooahppi	
feastamállásat	feastamállásat	
etnisitehta	etnisitet	
einnostus	spådom	
eamičearda	urbefolkning	
eamiálbmotnisu	eamiálbmotnisu	
ealáhusdepartemeanta	ealáhusdepartemeanta	
ealganálli	ealganálli	
eaktodáhtolašguovddáš	eaktodáhtolašguovddáš	
dásseváldi	dásseváldi	
dárkkuhus	dárkkuhus	
dálvenjuovvan	dálvenjuovvan	
dálkkádatnuppástus	dálkkádatnuppástus	
dutkandirektevra	dutkandirektevra	
duođaštanguovddáš	duođaštanguovddáš	
doarjjajoavku	doarjjajoavku	
dihtormáhttu	dihtormáhttu	
dihtomielalašvuohta	dihtomielalašvuohta	
diehtojuohkingihpa	diehtojuohkingihpa	
diehtojuohkindirektevra	diehtojuohkindirektevra	
datneárpu	tinntråd	
bátnedivššohat	tannklinikk	
bálkálassáneapmi	bálkálassáneapmi	
báktesárgun	báktesárgun	
byråkratiija	byråkrati	
buođđobivdu	buođđobivdu	
buhtadusfoanda	buhtadusfoanda	
bivdoriekti	jaktrett	
bivdináigi	bivdináigi	
bivastatgállu	bivastatgállu	
biilabisánansadji	biilabisánansadji	
biergovuorká	biergovuorká	
biergogáhkku	kjøttkake	
biergobihttá	kjøttstykke	
bearašeallin	bearašeallin	
beahcet	fiskespord	
bargomátki	arbeidsreise	
bargoguovlu	bargoguovlu	
bargogirji	arbeidsbok	
bajásšaddanplána	bajásšaddanplána	
ahkejoavku	ahkejoavku	
adnonbiila	adnonbiila	
Stuoragieddi	Stuoragieddi	
Jorbajeakkáš	Jorbajeakkáš	
Johtalusdepartemeanta	Johtalusdepartemeanta	
HPV-boahkuheapmi	HPV-boahkuheapmi	
Gárgovárri	Gárgovárri	
Gohppi	Gohppi	
Geaidnodirektoráhtta	Geaidnodirektoráhtta	
čáhcedoaimmahat	vannverk	
čorru	haug	
šluhtu	šluhtu	
šiehtadallančoahkkin	forhandlingsmøte	
čiehká	čiehká	
árbeeana	árbeeana	
álbmotlávlla	álbmotlávlla	
ádnu	stor_flat_stein	
válgadigaštallan	válgadigaštallan	
váldogažaldat	hovedspørsmål	
vuođđoárvu	vuođđoárvu	
vuođđodokumeanta	vuođđodokumeanta	
vitamiidna	vitamin	
ulbmi	ulbmi	
turnusdoavttir	turnusdoavttir	
turistaluohkká	turistaluohkká	
sávzzabiergu	sávzzabiergu	
sámekulturguovddáš	sámekulturguovddáš	
sáddu	sáddu	
suonjir	opphengsstativ	
stáhtaborgár	stáhtaborgár	
stuorraservvodat	stuorraservvodat	
spiinnečivga	spiinnečivga	
sound	sound	
sosiálasuorgi	sosiálasuorgi	
soahtehearrá	soahtehearrá	
smávvagánda	smávvagánda	
sirpa	sirpa	
servodatdieđa	samfunnsvitenskap	
