oba	melko
prošeakta	projekti
ovdaprošeakta	esiprojekti
giellaprošeakta	kieliprojekti
dutkanprošeakta	tutkimusprojekti
ovttasbargoprošeakta	yhteistyöprojekti
presideanta	presidentti
sámediggepresideanta	saamelaispresidentti
várrepresideanta	varapresidentti
pasieanta	potilas
departemeanta	ministeriö
energiijadepartemeanta	energiaministeriö
olgoriikadepartemeanta	ulkoministeriö
kultuvradepartemeanta	kulttuuridepartementti
justiisadepartemeanta	oikeusministeriö
gávpedepartemeanta	kauppaministeriö
dutkandepartemeanta	tutkimusministeriö
riddodepartemeanta	rannikkoministeriö
bargodepartemeanta	työministeriö
girkodepartemeanta	kirkkoministeriö
guovlodepartemeanta	alueministeriö
biebmodepartemeanta	ruokaministeriö
máhttodepartemeanta	tietoministeriö
dásseárvodepartemeanta	tasa-arvoministeriö
kulturdepartemeanta	kulttuuriministeriö
fuolahusdepartemeanta	sosiaaliministeriö
guovludepartemeanta	alueministeriö
bearašdepartemeanta	perheministeriö
dokumeanta	dokumentti& asiakirja
departementa	ministeriö
dutkandepartementa	tutkimusdepartementti
girkodepartementa	kirkkoministeriö
guovlodepartementa	alueministeriö
guovludepartementa	alueministeriö
relevánta	relevantti
raporta	raportti
nuorta	itä
e-poasta	sähköposti
lista	lista
láhkateaksta	lakiteksti
fásta	vakio
neahtta	netti
kvaliteahtta	laatu
bušeahtta	budjetti
stáhtabušeahtta	valtionbudjetti
minoritehtta	vähemmistö
instituhtta	laitos& instituutti
priváhtta	yksityinen
ovtta	yhteinen
buvtta	tuote
arkiiva	arkisto
negatiiva	negatiivinen
positiiva	positiivinen
aktiiva	aktiivinen
kollektiiva	kollektiivi
perspektiiva	näkökulma
ráva	neuvo
badjebáza	ylijäämä
badjelbáza	ylijäämä
ruoŧa	ruotsalainen
ruoŧŧa	ruotsalainen
muđuid	muuten
omd	esimerkiksi
vrd	vrt
geardde	kerran
ovddabealde	etupuolella
oarjjabealde	länsipuolella
siskkabealde	sisäpuolella
vuolábealde	alapuolella
lulábealde	eteläpuolella
davábealde	pohjoispuolella
mihkkege	mitään
goassege	koskaan
guhtege	jokainen
almmatge	kuitenkin
dattetge	kuitenkin
goabbáge	kumpikin
dehe	tai
die	tuolla
ládje	tapa
seammaládje	samanlainen
sihke	sekä
bealle	puoli
norggabealle	norjan puoli
sohkabealle	sukupuoli
olle	kaikki
málle	malli
fuolaheapme	välinpitämätön
biire	piiri& paliskunta
válgabiire	vaalipiiri
goasse	koskaan
dihte	takia
bakte	kautta
bokte	kautta
mađe	samoin
dakkaviđe	heti
láhkai	tapa
nai	myös
vai	vai
kulturárbi	kulttuuriperinne
álbmotmeahcci	kansallispuisto
oahcci	hakija
oahci	rajoitus
bargoaddi	työnantaja
sáttagoddi	valtuusto
lávdegoddi	lautakunta
válgalávdegoddi	vaalilautakunta
fágalávdegoddi	ammattilautakunta
láhkalávdegoddi	lakilautakunta
giellalávdegoddi	kielilautakunta
vuoigatvuođalávdegoddi	oikeuslautakunta
boraspirelávdegoddi	petoeläinlautakunta
áššedovdilávdegoddi	asiantuntijalautakunta
boazoguohtunlávdegoddi	porolaidunlautakunta
váldolávdegoddi	päälautakunta
bargolávdegoddi	työlautakunta
oahppolávdegoddi	opintolautakunta
kulturlávdegoddi	kulttuurilautakunta
diggegoddi	käräjäoikeus
báikegoddi	kylä& paikkakunta
čoahkkinjođihangoddi	kokousjohtokunta
čállingoddi	sihteeristö
gearddi	kerta& kerros& vuosikerros
plánaeiseváldi	suunnitteluviranomainen
mearridanváldi	päätösvalta
áššedovdi	asiantuntija
goahccevuovdi	havumetsä
ráfi	rauha
diggi	käräjät
boahtteáigi	tulevaisuus
suorgi	haarauma
fágasuorgi	ammatti-alue
vuoruhansuorgi	satsausalue
bargosuorgi	työllistämiskerroin
ovddasvástádussuorgi	vastuualue
servodatsuorgi	yhteiskuntasektori
álohii	aina
belohahkii	osittain
badjelii	yli
oidnosii	näkyviin
namalassii	nimittäin
ovddalgihtii	etukäteen
vuhtii	vastaan
dassážii	siihen asti
dássážii	tähän asti
mearrideaddji	määräävä
geavaheaddji	käyttäjä
gustojeaddji	kelvollinen& 
ovddasteaddji	edustaja
berošteaddji	kiinnostunut
riikarádji	valtionraja
oarji	länsi
čoahkkingirji	kokouskirja
válgajahki	vaalivuosi
logijahki	vuosikymmen
doaibmavuohki	toimitapa
eallinvuohki	elämäntapa
bargovuohki	työtapa
ovttasbargovuohki	yhteistyömuoto
láhki	tapa
ássanbáiki	asuinpaikka
hearki	härkä
riddodorski	rannikkoturska
lávki	sipuli
beali	puoli
sohkabealli	sukupuoli
boazodoalli	poronhoito
eallindilli	elämäntilanne
bargodilli	työolosuhteet
boazodilli	porotilanne
olli	ulottuvuus
gulli	kuuntelija
lulli	etelä
stáhtačálli	valtionsihteeri
doaibmi	aktiivinen
submi	summa
rievdadeapmi	muutos
oahpponeavvoráhkadeapmi	opetusmateriaalin tekeminen
iskkadeapmi	tutkimus
ruhtadeapmi	rahoitus
buvttadeapmi	tuotanto
iešmearrideapmi	itsemäärääminen
gáržžideapmi	rajoitus
áššemeannudeapmi	asiankäsittely
vealaheapmi	sorto
geavaheapmi	käyttö
čađaheapmi	läpikäynti
heiveheapmi	sopeutuminen
lasiheapmi	lisäys
váikkuheapmi	vaikutus
almmuheapmi	julistaminen
suodjaleapmi	suojelu
geahččaleapmi	kokeilu& koe
ovdáneapmi	kehitys
servodatovdáneapmi	yhteiskuntakehitys
lassáneapmi	lisäys
hálddašeapmi	hallinto
eanahálddašeapmi	maanhallinta
gávppašeapmi	kaupanteko
oapmi	omistus
iešstivrejupmi	autonomia
bálkkašupmi	palkinto
mearkkašupmi	merkitys
fuomášupmi	huomautus, idea
nuortasápmi	itäsaamelainen
máttasápmi	eteläsaamelainen
lullisápmi	eteläsaamelainen
oarjelsápmi	länsisaamelainen
ovdamunni	etu
fylkkamánni	maaherra
fylkamánni	maaherra
ámtamánni	maaherra
dáhpi	tapa
mearri	määrä
áigemearri	aikamäärä
mihttomearri	tavoite
buorri	hyve
lassi	lisäys
siidaoassi	paliskunnan osa
teakstaoassi	tekstiosa
eananoassi	maanosa
váldooassi	valtaosa
jahkečuohti	vuosisata
alimusriekti	korkein oikeus
álbmotriekti	kansanoikeus
oassálasti	osallistuja
sihkkarasti	vahvistaa
sávahahtti	toivottu
jáhkehahtti	luultavasti
gánnáhahtti	kannattava
mearkkašahtti	merkityksellinen
lagabui	lähempi
guvlui	suhteen
ovddosguvlui	eteenpäin
ektui	ehdolla
válgabeaivi	vaalipäivä
árgabeaivi	arkipäivä
leavgabeaivi	liputuspäivä
riikkasearvi	maanjärjestö
davvi	pohjoinen
skovvi	lomake
