oba	melko
obbalaš	yleinen
dáiddalaš	taiteellinen
čearddalaš	etninen
ovdalaš	aikaisemmin
geográfalaš	maantieteellinen
strategalaš	strateginen
vuoiggalaš	rehellinen
pedagogalaš	pedagoginen
erenoamášpedagogalaš	erikoispedagoginen
biologalaš	biologinen
ekologalaš	ekolooginen
norgalaš	norjalainen
fágalaš	ammatillinen
lágalaš	laillinen
juridihkalaš	juridinen
teknihkalaš	tekninen
politihkalaš	poliittinen
sámepolitihkalaš	saamepoliittinen
praktihkalaš	käytännöllinen
psyhkalaš	psyykkinen
gaskariikkalaš	kansainvälinen
davviriikkalaš	pohjoismainen
psykalaš	psyykkinen
gielalaš	kielellinen
sámegielalaš	saamenkielinen
dihtomielalaš	tietoinen
sosiálalaš	sosiaalinen
formálalaš	muodollinen
ekonomalaš	taloudellinen
iešheanalaš	itsenäinen
bienalaš	yksityiskohtainen
ovttajienalaš	yksimielisesti
persovnnalaš	henkilöllinen
našuvnnalaš	kansallinen
nášuvnnalaš	kansallinen
loahpalaš	vihdoin
prinsihpalaš	periaatteellinen
eurohpalaš	eurooppalainen
oppalaš	yleinen
kultuvrralaš	kulttuurinen
máŋggakultuvrralaš	monikulttuurinen
parlamentáralaš	parlamentaarinen
deatalaš	tärkeä
konkrehtalaš	konkreettinen
systemáhtalaš	systemaattinen
automáhtalaš	automaattinen
demokráhtalaš	demokraattinen
stáhtalaš	valtiollinen
arktalaš	arktinen
árktalaš	arktinen
negatiivvalaš	negatiivinen
positiivvalaš	positiivinen
dieđalaš	tieteellinen
ruđalaš	rahallinen
vuoiŋŋalaš	hengellinen
ulbmillaš	määrätietoinen
suohkanlaš	kunnallinen
gelbbolaš	kelvollinen
girkolaš	kirkollinen
eaktodáhtolaš	vapaaehtoinen
šattolaš	seuraaja
molssaevttolaš	vapaaehtoinen
vuđolaš	perusteellinen
gonagaslaš	kuninkaallinen
dievaslaš	täydellinen
hálddahuslaš	hallinnollinen
servodatlaš	yhteiskunnallinen
geavatlaš	käytännöllinen
guovllulaš	alueellinen
guovlulaš	alueellinen
lobálaš	laillinen
dohkálaš	sopiva& kelvollinen
báikkálaš	paikallinen
ávkkálaš	hyödyllinen
ekonomálaš	taloudellinen
sálaš	saalis
olmmošlaš	kohtelias
eanaš	enimmäkseen
goappaš	molemmat
gaskaboddasaš	väliaikainen
sullasaš	samanlainen
nammasaš	niminen
gaskaboddosaš	väliaikainen
riikkaviidosaš	maankattava
ruvdnosaš	kruunuinen
sturrosaš	suuruinen
ovttaárvosaš	samaarvoinen
jahkásaš	yksivuotinen
dássásaš	tasavertainen
sorjavaš	riippumaton
guoskevaš	koskien
váilevaš	puuttuva
gullevaš	kuuluva
boahttevaš	tuleva
gustovaš	koskevan
fágaolmmoš	ammattilainen
rávisolmmoš	aikuinen
ohcamuš	hakemus
soahpamuš	sopimus
vuosttamuš	ensisijaisesti
bajimuš	ylin
vuordámuš	odotus
cealkámuš	lausunto
luohttámuš	luottamus
njunuš	kärki
filbmaguovddáš	elokuvakeskus
preassaguovddáš	lehdistökeskus
gelbbolašvuođaguovddáš	kompetenssikeskus
gealboguovddáš	kompetenssikeskus
kulturguovddáš	kulttuurikeskus
duogáš	tausta
veaháš	vähän
dáláš	nykyaikainen
earenoamáš	erinomainen
erenoamáš	erikoinen
otnáš	tämänpäivän
