bakto	Adv	(postp.) kautta (R)
binnoš	Adv	hieman	vähän
duogin	Adv	takana	päässä (es. matkan päässä)
gait	Adv	kaikki	kokonaan
geažos	Adv	koko (päivän, yön jne)	läpi (talven, yön jne)
gopposge	Adv	kumpaallekaan	kumpaallekin
harvii	Adv	harvoin
ilá	Adv	liian	ylen	kovin
juosat	Adv	johonkin	jonnekin
nađat	Adv	-kahvainen	-vartinen
ovddos maŋos	Adv	edestakaisin
ovddosmaŋos	Adv	edestakaisin
roahtá	Adv	äkisti	äkkipäätään	odottamatta
roahttá	Adv	äkisti	äkkipäätään	odottamatta
roahttásit	Adv	äkisti	äkkipäätään	odottamatta (R )
sahteládje	Adv	satunnaisesti
sealggális	Adv	selällään	selälleen
