amas	Pcle	jotta	että (kiellon yhteydessä)	jottei	ettei (R)
ammat	Pcle	eikös (niin)	niinhän (sitä on tapana)
gait	Pcle	kaikkein
gis	Pcle	puolestaan	vuorostaan	taas	-kin
hal	Pcle	nyt (painottomana)	(amma hal lea nu, ahte… eiköhän ole niin, että..)
hás	Pcle	-ko	-kö sittenkin	-kä tosiaan	saat uskoa, että	joska
